key,frame_index,latest_session,visible_sessions,path
q,0,1,1,/Users/jimmy2/Downloads/tran_key_frames/frames/q/frame_00_session_01.png
q,1,2,"1,2",/Users/jimmy2/Downloads/tran_key_frames/frames/q/frame_01_session_02.png
q,2,3,"1,2,3",/Users/jimmy2/Downloads/tran_key_frames/frames/q/frame_02_session_03.png
q,3,4,"1,2,3,4",/Users/jimmy2/Downloads/tran_key_frames/frames/q/frame_03_session_04.png
q,4,5,"1,2,3,4,5",/Users/jimmy2/Downloads/tran_key_frames/frames/q/frame_04_session_05.png
q,5,6,"1,2,3,4,5,6",/Users/jimmy2/Downloads/tran_key_frames/frames/q/frame_05_session_06.png
q,6,7,"1,2,3,4,5,6,7",/Users/jimmy2/Downloads/tran_key_frames/frames/q/frame_06_session_07.png
q,7,8,"1,2,3,4,5,6,7,8",/Users/jimmy2/Downloads/tran_key_frames/frames/q/frame_07_session_08.png
q,8,9,"1,2,3,4,5,6,7,8,9",/Users/jimmy2/Downloads/tran_key_frames/frames/q/frame_08_session_09.png
q,9,10,"1,2,3,4,5,6,7,8,9,10",/Users/jimmy2/Downloads/tran_key_frames/frames/q/frame_09_session_10.png
q,10,11,"1,2,3,4,5,6,7,8,9,10,11",/Users/jimmy2/Downloads/tran_key_frames/frames/q/frame_10_session_11.png
q,11,12,"1,2,3,4,5,6,7,8,9,10,11,12",/Users/jimmy2/Downloads/tran_key_frames/frames/q/frame_11_session_12.png
q,12,13,"1,2,3,4,5,6,7,8,9,10,11,12,13",/Users/jimmy2/Downloads/tran_key_frames/frames/q/frame_12_session_13.png
q,13,14,"1,2,3,4,5,6,7,8,9,10,11,12,13,14",/Users/jimmy2/Downloads/tran_key_frames/frames/q/frame_13_session_14.png
q,14,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",/Users/jimmy2/Downloads/tran_key_frames/frames/q/frame_14_session_15.png
q,15,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",/Users/jimmy2/Downloads/tran_key_frames/frames/q/frame_15_session_16.png
q,16,17,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",/Users/jimmy2/Downloads/tran_key_frames/frames/q/frame_16_session_17.png
q,17,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",/Users/jimmy2/Downloads/tran_key_frames/frames/q/frame_17_session_18.png
q,18,19,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",/Users/jimmy2/Downloads/tran_key_frames/frames/q/frame_18_session_19.png
q,19,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",/Users/jimmy2/Downloads/tran_key_frames/frames/q/frame_19_session_20.png
q,20,21,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",/Users/jimmy2/Downloads/tran_key_frames/frames/q/frame_20_session_21.png
q,21,22,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22",/Users/jimmy2/Downloads/tran_key_frames/frames/q/frame_21_session_22.png
q,22,23,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",/Users/jimmy2/Downloads/tran_key_frames/frames/q/frame_22_session_23.png
q,23,24,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",/Users/jimmy2/Downloads/tran_key_frames/frames/q/frame_23_session_24.png
q,24,25,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",/Users/jimmy2/Downloads/tran_key_frames/frames/q/frame_24_session_25.png
w,0,1,1,/Users/jimmy2/Downloads/tran_key_frames/frames/w/frame_00_session_01.png
w,1,2,"1,2",/Users/jimmy2/Downloads/tran_key_frames/frames/w/frame_01_session_02.png
w,2,3,"1,2,3",/Users/jimmy2/Downloads/tran_key_frames/frames/w/frame_02_session_03.png
w,3,4,"1,2,3,4",/Users/jimmy2/Downloads/tran_key_frames/frames/w/frame_03_session_04.png
w,4,5,"1,2,3,4,5",/Users/jimmy2/Downloads/tran_key_frames/frames/w/frame_04_session_05.png
w,5,6,"1,2,3,4,5,6",/Users/jimmy2/Downloads/tran_key_frames/frames/w/frame_05_session_06.png
w,6,7,"1,2,3,4,5,6,7",/Users/jimmy2/Downloads/tran_key_frames/frames/w/frame_06_session_07.png
w,7,8,"1,2,3,4,5,6,7,8",/Users/jimmy2/Downloads/tran_key_frames/frames/w/frame_07_session_08.png
w,8,9,"1,2,3,4,5,6,7,8,9",/Users/jimmy2/Downloads/tran_key_frames/frames/w/frame_08_session_09.png
w,9,10,"1,2,3,4,5,6,7,8,9,10",/Users/jimmy2/Downloads/tran_key_frames/frames/w/frame_09_session_10.png
w,10,11,"1,2,3,4,5,6,7,8,9,10,11",/Users/jimmy2/Downloads/tran_key_frames/frames/w/frame_10_session_11.png
w,11,12,"1,2,3,4,5,6,7,8,9,10,11,12",/Users/jimmy2/Downloads/tran_key_frames/frames/w/frame_11_session_12.png
w,12,13,"1,2,3,4,5,6,7,8,9,10,11,12,13",/Users/jimmy2/Downloads/tran_key_frames/frames/w/frame_12_session_13.png
w,13,14,"1,2,3,4,5,6,7,8,9,10,11,12,13,14",/Users/jimmy2/Downloads/tran_key_frames/frames/w/frame_13_session_14.png
w,14,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",/Users/jimmy2/Downloads/tran_key_frames/frames/w/frame_14_session_15.png
w,15,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",/Users/jimmy2/Downloads/tran_key_frames/frames/w/frame_15_session_16.png
w,16,17,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",/Users/jimmy2/Downloads/tran_key_frames/frames/w/frame_16_session_17.png
w,17,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",/Users/jimmy2/Downloads/tran_key_frames/frames/w/frame_17_session_18.png
w,18,19,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",/Users/jimmy2/Downloads/tran_key_frames/frames/w/frame_18_session_19.png
w,19,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",/Users/jimmy2/Downloads/tran_key_frames/frames/w/frame_19_session_20.png
w,20,21,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",/Users/jimmy2/Downloads/tran_key_frames/frames/w/frame_20_session_21.png
w,21,22,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22",/Users/jimmy2/Downloads/tran_key_frames/frames/w/frame_21_session_22.png
w,22,23,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",/Users/jimmy2/Downloads/tran_key_frames/frames/w/frame_22_session_23.png
w,23,24,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",/Users/jimmy2/Downloads/tran_key_frames/frames/w/frame_23_session_24.png
w,24,25,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",/Users/jimmy2/Downloads/tran_key_frames/frames/w/frame_24_session_25.png
e,0,1,1,/Users/jimmy2/Downloads/tran_key_frames/frames/e/frame_00_session_01.png
e,1,2,"1,2",/Users/jimmy2/Downloads/tran_key_frames/frames/e/frame_01_session_02.png
e,2,3,"1,2,3",/Users/jimmy2/Downloads/tran_key_frames/frames/e/frame_02_session_03.png
e,3,4,"1,2,3,4",/Users/jimmy2/Downloads/tran_key_frames/frames/e/frame_03_session_04.png
e,4,5,"1,2,3,4,5",/Users/jimmy2/Downloads/tran_key_frames/frames/e/frame_04_session_05.png
e,5,6,"1,2,3,4,5,6",/Users/jimmy2/Downloads/tran_key_frames/frames/e/frame_05_session_06.png
