key,latest_session,visible_sessions,session_pixels,ground_truth_pixels,intersection_pixels,union_pixels,iou,overlap_loss,area_delta
q,1,1,8064,5260,5260,8064,0.652282,0.347718,0.533080
q,2,"1,2",8886,5260,5257,8889,0.591405,0.408595,0.689354
q,3,"1,2,3",9390,5260,5260,9390,0.560170,0.439830,0.785171
q,4,"1,2,3,4",4585,5260,4585,5260,0.871673,0.128327,0.128327
q,5,"1,2,3,4,5",4357,5260,4357,5260,0.828327,0.171673,0.171673
q,6,"1,2,3,4,5,6",3761,5260,3761,5260,0.715019,0.284981,0.284981
q,7,"1,2,3,4,5,6,7",3676,5260,3676,5260,0.698859,0.301141,0.301141
q,8,"1,2,3,4,5,6,7,8",4713,5260,4260,5713,0.745668,0.254332,0.103992
q,9,"1,2,3,4,5,6,7,8,9",4239,5260,4147,5352,0.774851,0.225149,0.194106
q,10,"1,2,3,4,5,6,7,8,9,10",3933,5260,3896,5297,0.735511,0.264489,0.252281
q,11,"1,2,3,4,5,6,7,8,9,10,11",5318,5260,4880,5698,0.856441,0.143559,0.011027
q,12,"1,2,3,4,5,6,7,8,9,10,11,12",5140,5260,5024,5376,0.934524,0.065476,0.022814
q,13,"1,2,3,4,5,6,7,8,9,10,11,12,13",5207,5260,5091,5376,0.946987,0.053013,0.010076
q,14,"1,2,3,4,5,6,7,8,9,10,11,12,13,14",5239,5260,5170,5329,0.970163,0.029837,0.003992
q,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",5260,5260,5187,5333,0.972623,0.027377,0.000000
q,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",5308,5260,5201,5367,0.969070,0.030930,0.009125
q,17,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",5356,5260,5220,5396,0.967383,0.032617,0.018251
q,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",5335,5260,5204,5391,0.965313,0.034687,0.014259
q,19,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",5346,5260,5238,5368,0.975782,0.024218,0.016350
q,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",5334,5260,5236,5358,0.977230,0.022770,0.014068
q,21,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",5373,5260,5250,5383,0.975293,0.024707,0.021483
q,22,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22",5368,5260,5259,5369,0.979512,0.020488,0.020532
q,23,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",5292,5260,5249,5303,0.989817,0.010183,0.006084
